length,position,n,empirical_stat,ci_lower,mean,ci_upper,language,speaker,gram
7,3,275,5.382122291407429,5.166653494800711,5.377833534737709,5.594064987331426,Chinese,Child,Unigram
7,4,275,5.349742001508073,5.1435598152218756,5.3512645509425125,5.550011232223985,Chinese,Child,Unigram
7,5,275,5.466613098191598,5.2532191930859895,5.4636163942966745,5.6823595901854125,Chinese,Child,Unigram
7,6,275,6.0275731831899035,5.79951810684638,6.025244069225963,6.243650914336228,Chinese,Child,Unigram
7,7,275,5.335261129193668,5.119263240984849,5.335184171770817,5.54640443882364,Chinese,Child,Unigram
9,1,122,4.9914275918978905,4.667587873589571,4.992692620014579,5.343402887294633,Chinese,Child,Unigram
9,2,122,5.09013172451451,4.7844179521265,5.094566964287271,5.44409477367632,Chinese,Child,Unigram
9,3,122,5.490326427635641,5.202531424836922,5.494588391370917,5.8019264587987625,Chinese,Child,Unigram
9,4,122,5.473368327808357,5.140653842181207,5.473806343256403,5.802773411622341,Chinese,Child,Unigram
9,5,122,5.531369923728694,5.2355227801114825,5.537437316249802,5.84411100345317,Chinese,Child,Unigram
9,6,122,5.407932193794628,5.082890595401417,5.405775526574754,5.743245934317284,Chinese,Child,Unigram
9,7,122,5.408125802508811,5.088203980486392,5.404382930743274,5.729841878012405,Chinese,Child,Unigram
9,8,122,5.233049348478352,4.942739466299965,5.235089124101225,5.567430808045955,Chinese,Child,Unigram
9,9,122,5.490943363207646,5.15326925502934,5.493215787347724,5.808696718673883,Chinese,Child,Unigram
9,1,455,5.390624030060027,5.2248641898571035,5.389025250229918,5.550244196316521,Chinese,Parent,Unigram
9,2,455,5.413673129024943,5.258720871387793,5.414996714956645,5.577322393978372,Chinese,Parent,Unigram
9,3,455,5.739606947277936,5.5711713437879355,5.739462893544466,5.920701040340717,Chinese,Parent,Unigram
9,4,455,5.6596326318723955,5.492734007239717,5.659880430618038,5.840647527386802,Chinese,Parent,Unigram
9,5,455,5.621493085431179,5.444482281757274,5.619074749160432,5.782391812578875,Chinese,Parent,Unigram
