language1,language2,cosine,gram
Urdu,Kirghiz,0.41620778149902904,unigram
Urdu,Turkmen,0.32307631877874743,unigram
Urdu,Persian,0.2531096061102528,unigram
Urdu,Tajik,0.7261671656097962,unigram
Urdu,Latin,0.7910156060239413,unigram
Urdu,Galician,0.21208645692566147,unigram
Urdu,Romanian,0.4548268327637791,unigram
Urdu,Norman,-0.0017779685096100653,unigram
Urdu,Corsican,0.27240355156334245,unigram
Urdu,Bengali,0.6733536866350923,unigram
Urdu,Waray,-0.4199479827248953,unigram
Urdu,Welsh,0.2814292321258756,unigram
Urdu,Armenian,0.19199758018078159,unigram
Urdu,Korean,0.49989162698696316,unigram
Urdu,Assamese,0.3703359255298175,unigram
Urdu,Bhojpuri,0.20581435295308934,unigram
Urdu,Divehi,-0.3118026864987343,unigram
Urdu,Kabiye,0.5593253979048796,unigram
Urdu,Catalan,0.2221403374078591,unigram
Urdu,Walloon,0.2477416950626276,unigram
Urdu,Yiddish,0.038672126216415345,unigram
Urdu,Maltese,0.47461832742238313,unigram
Urdu,Romansh,0.13812340240758988,unigram
Urdu,Bavarian,-0.23903161305093656,unigram
Urdu,Faroese,0.5180424965652366,unigram
Urdu,Ripuarian,-0.17757561893325396,unigram
Urdu,Luxembourgish,0.19739093139981645,unigram
Urdu,Limburgish,-0.11363375988496237,unigram
Urdu,Scots,0.4408491351555808,unigram
Urdu,Zeelandic,0.3720223355188357,unigram
Urdu,Aragonese,0.20909956326989929,unigram
Urdu,Asturian,0.3689812706841101,unigram
Urdu,Emilian-Romagnol,-0.11529726553319712,unigram
Urdu,Extremaduran,0.15115955838934664,unigram
Urdu,Franco-Provençal,0.31866742976178575,unigram
Urdu,Friulian,0.29491988730732394,unigram
Urdu,Ladino,0.22620147278966,unigram
Urdu,Lombard,0.3439033209015691,unigram
Urdu,Mirandese,0.36781532659194505,unigram
Urdu,Neapolitan,0.6685785723285677,unigram
Urdu,Occitan,0.3828517815781528,unigram
Urdu,Picard,0.5956223697578177,unigram
Urdu,Sardinian,0.23495478127217229,unigram
Urdu,Sicilian,0.2370161604296409,unigram
Urdu,Venetian,0.07460039203867487,unigram
Urdu,Czech,0.0935982939882675,unigram
Urdu,Rusyn,0.27968118570172307,unigram
Urdu,Slovenian,0.37067954423038546,unigram
Urdu,Uzbek,0.2552681113657455,unigram
Urdu,Amharic,0.06848728400161387,unigram
Urdu,Zazaki,0.8243427407817484,unigram
Urdu,Gilaki,0.4730735099067602,unigram
Urdu,Mazandarani,0.10695011069066467,unigram
