language,source,gram,family,1,2,3,4,5
Rusyn,wikipedia,trigram,NA,2.025778890595629,-0.13999872235963218,-0.6020075063776555,-0.5100993490888539,-0.7736733127694871
Slovenian,wikipedia,unigram,Indo-European,0.06954906487603285,-0.23590032043720788,-0.3182310960546628,-0.07381569321736414,0.5583980448332007
Slovenian,wikipedia,trigram,Indo-European,2.1050246714564804,-0.10505815644879068,-0.6114328459422607,-0.6558012119002917,-0.7327324571651368
Uzbek,wikipedia,unigram,NA,0.22451747792587096,-0.06200083625341435,0.07181703485955993,0.18995593176089365,-0.4242896082929093
Uzbek,wikipedia,trigram,NA,2.266171086444233,-0.12647685489840965,-0.5371328872172298,-0.6187659571638517,-0.9837953871647418
Amharic,wikipedia,unigram,Afro-Asiatic,0.40859687697741665,0.17007184273901954,0.12276494516524838,0.013332228981802086,-0.7147658938634862
Amharic,wikipedia,trigram,Afro-Asiatic,2.4014092161515412,-0.13555232797202854,-0.6277347808213832,-0.7513237662636466,-0.8867983410944829
Zazaki,wikipedia,unigram,NA,0.4514648947348805,-0.29934769363188973,-0.23273984783792212,-0.15865424360499691,0.23927689033992827
Zazaki,wikipedia,trigram,NA,2.2249043415691867,-0.58950425191693,-0.5093535593389742,-0.5799450279766052,-0.5461015023366771
Gilaki,wikipedia,unigram,Indo-European,0.39694824347785573,0.10493401838996697,-0.5112064518100343,-0.14887090588785856,0.15819509583007108
Gilaki,wikipedia,trigram,Indo-European,2.2557785843760167,-0.3666783350642414,-0.7282024757092542,-0.6156906198059305,-0.5452071537965908
Mazandarani,wikipedia,unigram,Indo-European,0.2734002006427394,0.028424796528300877,-0.2960365450509448,-0.0907917754881522,0.08500332336805672
Mazandarani,wikipedia,trigram,Indo-European,1.6832017783799935,-0.026059788622234903,-0.5880852745892025,-0.32151586057424075,-0.7475408545943153
Ossetian,wikipedia,unigram,Indo-European,0.46027572294767394,-0.28570951559724156,-0.21466175406862176,-0.072564756134748,0.11266030285293649
Ossetian,wikipedia,trigram,Indo-European,2.321738375451009,-0.5337649715079809,-0.5052885052236935,-0.5860992017706848,-0.6965856969486498
Pashto,wikipedia,unigram,NA,-0.18240832769899562,0.10473486819909628,-0.08698732986326974,0.25952653034324324,-0.09486574098007505
Pashto,wikipedia,trigram,NA,1.4769013067324055,0.1835220365782,-0.5065523833335648,-0.4241489894870545,-0.729721970489986
